temperature_c,ph,dissolved_oxygen_mg_l,salinity_ppt,ammonia_mg_l,feed_kg_day,shrimp_age_days,stocking_density_per_m2,high_risk
29.61,8.49,5.28,18.62,0.09,49.72,18,24.8,0
26.92,8.18,4.93,11.29,0.034,39.37,82,41.6,0
30.5,8.88,6.08,18.6,0.136,62.96,120,52.9,0
30.88,6.95,5.76,11.12,0.025,53.58,92,45.9,0
25.1,7.65,1.27,25.12,0.066,43.16,41,54.5,1
26.4,7.55,5.68,34.37,0.12,59.18,87,58.0,0
29.26,6.71,3.75,20.9,0.098,17.27,39,53.0,0
28.37,8.38,3.22,14.19,0.156,40.72,114,40.9,0
28.97,7.65,4.76,2.8,0.106,44.06,111,52.8,0
27.29,8.21,5.51,7.89,0.015,51.03,78,78.5,0
30.76,9.1,2.95,27.33,0.039,16.27,26,22.7,1
30.56,7.61,5.88,11.82,0.115,38.09,58,52.3,0
29.13,7.57,5.95,15.77,0.254,48.01,24,72.5,1
31.25,7.87,5.06,21.93,0.222,49.16,101,27.4,0
29.94,8.34,3.92,26.89,0.658,59.79,91,60.0,0
27.28,7.49,3.78,16.8,0.073,53.42,41,62.0,0
29.74,7.45,6.28,15.57,0.206,41.09,112,22.8,0
27.08,8.38,3.11,18.43,0.196,52.12,101,55.7,0
30.76,8.01,6.33,14.23,0.348,38.98,122,40.9,0
28.9,6.68,4.79,14.56,0.284,44.2,43,44.1,1
28.63,7.13,4.88,20.47,0.144,53.92,30,40.1,0
27.64,8.63,2.86,19.11,0.182,41.32,67,64.7,1
31.45,8.02,4.82,30.79,0.156,47.43,41,43.3,0
28.69,7.38,5.77,20.63,0.112,56.42,98,38.1,0
28.14,7.71,3.33,24.91,0.172,52.68,61,38.3,0
28.3,7.81,5.62,11.57,0.133,60.5,85,39.9,0
30.06,8.2,5.11,21.15,0.128,76.93,30,28.8,0
29.73,7.05,4.2,13.66,0.36,52.54,20,37.9,0
29.83,7.34,6.07,20.37,0.146,35.08,122,46.8,0
29.86,7.95,2.25,22.13,0.124,49.68,63,51.1,1
33.28,7.75,5.43,18.3,0.101,49.03,26,63.1,0
28.19,8.11,7.02,32.44,0.093,51.2,107,48.6,0
27.98,7.12,6.8,26.57,0.038,64.43,25,37.9,0
27.37,8.0,5.49,25.06,0.112,16.74,129,29.8,0
30.23,8.4,4.62,22.59,0.263,64.71,56,49.4,0
31.26,8.07,4.21,28.58,0.071,69.76,66,43.2,0
28.77,7.88,4.62,9.38,0.008,50.52,41,43.7,0
27.32,7.75,5.68,26.22,0.167,50.88,20,48.9,0
27.35,7.34,3.99,12.05,0.136,38.38,59,52.8,0
30.3,7.76,5.95,14.61,0.355,42.09,53,49.0,1
30.49,8.49,7.67,21.37,0.064,52.47,63,42.4,0
30.09,7.73,4.92,25.4,0.033,51.5,68,33.0,0
27.67,7.31,3.32,11.08,0.096,52.81,85,35.8,1
29.46,7.53,3.32,14.92,0.084,51.4,18,57.7,0
29.23,7.91,5.97,18.59,0.02,55.48,53,38.6,0
29.44,7.59,4.93,16.88,0.125,53.8,113,24.8,0
30.74,8.07,6.1,23.12,0.078,26.63,124,62.4,0
29.45,8.09,4.33,35.0,0.31,54.48,74,30.9,1
30.36,8.29,6.04,20.52,0.126,69.88,53,45.5,0
29.14,8.58,4.8,13.59,0.057,41.6,59,52.4,0
29.58,8.35,4.08,10.22,0.114,64.49,103,45.0,0
30.26,7.29,4.5,16.05,0.134,28.24,57,10.0,0
26.09,7.3,3.5,12.36,0.18,41.55,123,50.9,0
28.36,7.76,7.49,20.81,0.118,32.38,13,64.9,0
28.06,7.55,4.88,20.71,0.456,62.69,82,56.8,0
27.72,7.17,5.81,15.22,0.036,66.61,72,13.1,0
28.45,7.56,4.33,29.91,0.076,40.51,64,76.9,0
31.99,7.54,3.69,13.59,0.057,59.57,67,25.1,0
27.27,7.43,4.71,17.28,0.087,66.76,29,28.8,0
30.94,7.63,6.38,21.83,0.148,41.51,51,56.7,0
25.63,8.45,4.35,23.35,0.14,43.95,52,51.8,0
28.33,7.91,3.91,25.67,0.176,53.0,89,46.2,0
29.33,9.16,5.19,20.57,0.126,29.36,81,36.5,0
30.17,7.89,5.62,24.31,0.132,43.65,59,65.0,0
30.42,7.64,7.05,14.01,0.128,74.14,72,44.4,0
30.59,7.8,5.44,23.51,0.08,34.5,78,21.5,0
28.3,7.94,5.8,23.43,0.075,54.81,15,63.5,0
28.08,8.04,5.9,27.08,0.056,49.86,116,48.3,0
30.72,8.94,3.56,7.99,0.184,39.54,117,61.7,0
28.62,7.34,3.8,12.56,0.01,45.32,53,53.6,0
26.45,8.27,3.65,22.94,0.129,68.29,101,80.9,0
26.73,7.91,3.33,2.09,0.209,50.3,57,40.4,0
27.16,6.94,5.99,20.95,0.251,52.65,18,45.2,1
29.99,8.22,5.36,24.36,0.006,66.01,113,55.8,0
29.28,8.5,5.1,14.54,0.082,37.66,42,40.4,0
30.38,7.33,1.76,15.42,0.059,26.3,52,57.0,1
28.15,7.8,7.57,11.56,0.076,68.53,79,10.0,0
29.32,6.85,3.88,14.87,0.289,44.05,62,43.9,1
30.25,7.11,7.56,15.04,0.06,55.4,41,43.5,0
28.38,8.38,3.19,13.9,0.209,30.57,106,42.9,1
29.91,7.54,3.98,13.57,0.131,47.83,52,31.8,0
27.68,7.19,2.25,16.37,0.073,25.55,81,58.6,0
28.27,7.93,5.45,16.3,0.067,42.96,89,37.4,0
28.24,7.51,3.62,29.24,0.142,32.28,122,48.0,0
26.61,7.54,3.66,15.63,0.109,28.84,67,44.4,0
29.97,8.21,3.28,20.06,0.019,37.45,66,52.5,0
28.06,7.16,5.97,14.54,0.047,7.6,119,66.5,0
29.02,7.3,5.89,14.46,0.144,24.6,67,47.9,0
29.96,7.88,7.27,7.77,0.035,53.74,45,57.6,0
29.89,8.33,4.14,8.57,0.231,47.21,15,47.2,0
30.33,8.48,5.27,10.76,0.025,25.89,48,37.4,0
28.8,7.43,3.39,19.1,0.092,50.22,33,42.9,0
28.15,8.32,4.58,24.46,0.188,28.83,46,40.7,0
28.84,7.37,4.35,7.28,0.044,52.83,74,53.5,0
25.63,8.8,5.58,14.71,0.032,40.27,72,46.6,1
26.11,7.18,6.27,9.8,0.163,37.12,32,33.1,0
26.35,8.53,6.24,16.41,0.214,40.63,65,41.7,0
27.01,7.44,3.95,24.45,0.097,80.39,64,22.1,0
29.8,8.91,6.25,15.32,0.08,30.62,15,42.2,0
27.19,8.13,4.94,17.71,0.024,45.4,43,45.0,0
28.24,7.24,4.59,26.73,0.122,53.72,96,72.1,0
31.6,7.51,4.11,20.75,0.015,27.56,12,65.2,0
28.29,8.23,4.3,13.44,0.292,18.09,46,29.5,0
30.48,8.38,7.18,18.95,0.102,32.98,67,48.0,0
27.13,7.76,5.38,13.03,0.048,53.39,29,48.3,0
28.59,7.82,5.22,20.52,0.066,36.87,87,41.5,0
27.1,8.22,4.67,21.09,0.129,38.53,95,42.5,0
28.32,7.87,8.06,9.8,0.077,55.66,50,39.7,0
30.68,7.09,6.63,19.05,0.113,29.9,37,73.1,0
25.55,7.35,4.1,17.29,0.042,40.67,103,38.8,0
29.87,7.93,4.66,21.27,0.254,19.29,35,50.1,0
29.48,8.47,4.73,22.99,0.068,46.81,27,10.0,0
27.81,8.69,5.18,20.86,0.01,45.44,13,57.4,0
26.11,8.23,4.12,16.18,0.083,53.93,20,62.8,0
29.14,7.96,5.55,23.6,0.059,24.82,114,29.2,0
27.94,8.21,6.82,12.76,0.242,39.12,122,37.3,0
29.47,7.43,3.36,10.08,0.048,22.82,75,51.8,0
29.04,7.72,3.59,2.0,0.076,38.31,120,45.3,0
32.2,7.35,4.4,17.58,0.132,64.23,94,52.0,0
28.52,7.11,4.45,13.07,0.177,37.19,58,40.7,0
26.95,7.98,7.5,20.39,0.305,21.51,95,72.9,1
29.36,7.9,6.25,6.17,0.052,31.8,60,35.0,0
29.44,8.18,6.18,14.12,0.282,17.84,125,85.4,1
31.72,8.1,4.67,20.82,0.235,22.56,112,63.6,0
30.67,7.93,4.64,11.82,0.058,52.06,111,57.5,0
29.71,8.11,3.19,20.46,0.051,20.31,73,29.4,1
31.93,7.78,5.98,14.66,0.155,46.68,72,58.6,0
26.62,8.03,5.61,17.8,0.111,42.39,24,54.1,0
27.72,7.4,6.61,21.57,0.154,34.03,88,13.2,0
27.15,8.0,4.74,23.72,0.085,45.41,23,23.9,0
28.22,8.17,4.82,18.55,0.12,27.94,74,50.4,0
26.25,7.43,5.21,13.12,0.102,54.61,25,43.0,0
